city,鄉鎮,flood_shelter_count,earthquake_shelter_count,landslide_shelter_count,tsunami_shelter_count,任一災別避難地點數
新北市,三峽區,20,21,21,21,21
新北市,三芝區,9,9,9,5,9
新北市,三重區,25,35,35,35,35
新北市,中和區,24,23,24,24,24
新北市,五股區,13,7,12,13,13
新北市,八里區,13,14,14,6,14
新北市,土城區,22,21,27,17,28
新北市,坪林區,8,8,8,8,8
新北市,平溪區,11,11,11,0,11
新北市,新店區,35,35,35,9,36
新北市,新莊區,27,32,37,36,37
新北市,板橋區,30,39,24,21,41
新北市,林口區,29,26,27,27,29
新北市,樹林區,21,20,7,0,21
新北市,永和區,14,17,17,17,17
新北市,汐止區,21,26,25,25,26
新北市,泰山區,17,1,15,17,17
新北市,淡水區,35,36,30,28,39
新北市,深坑區,7,8,8,8,8
新北市,烏來區,7,7,7,0,7
新北市,瑞芳區,23,23,23,21,23
新北市,石碇區,8,8,8,8,8
新北市,石門區,9,9,13,3,13
新北市,萬里區,10,16,15,9,16
新北市,蘆洲區,16,17,21,18,21
新北市,貢寮區,9,12,12,14,19
新北市,金山區,16,13,16,13,16
新北市,雙溪區,12,13,13,0,13
新北市,鶯歌區,14,14,14,14,14
臺北市,中山區,22,8,1,0,26
臺北市,中正區,19,3,0,0,19
臺北市,信義區,6,5,1,0,10
臺北市,內湖區,17,4,2,0,22
臺北市,北投區,21,10,0,0,28
臺北市,南港區,5,4,0,0,9
臺北市,士林區,18,9,2,0,26
臺北市,大同區,18,5,0,0,21
臺北市,大安區,17,3,0,0,17
臺北市,文山區,21,4,0,0,24
臺北市,松山區,23,5,0,0,23
臺北市,萬華區,19,2,0,0,20
