項次編號,狀態,行政區,設置地點,取水地址,聯絡窗口,電話,備註
1,開設,大安區,"(25.014723,121.54736)",臺北市長興街131號(長興淨水場外-客服中心前),客服中心,(02)87335678,24小時，無預約現場排隊
2,未開設,大安區,"(25.014728,121.547636)",臺北市長興街131號(長興淨水場內-視訊室前),客服中心,(02)87335678,彈性調度
3,未開設,大安區,"(25.017671,121.547747)",臺北市基隆路辛亥路三段口(國家地震中心前),客服中心,(02)87335678,彈性調度、預約包點
4,未開設,內湖區,"(25.059755,121.581058)",臺北市行善路(舊宗路一段至行愛路間),客服中心,(02)87335678,限預約包點
5,未開設,文山區,"(24.995389,121.57502)",臺北市新光路二段(汙水處理場左前方),客服中心,(02)87335678,限預約包點
6,未開設,松山區,"(25.07098,121.560271)",臺北市濱江街888號旁,客服中心,(02)87335678,限預約包點
7,未開設,中山區,"(25.072452,121.557205)",臺北市濱江街436號對面,客服中心,(02)87335678,限預約包點
8,未開設,中山區,"(25.072545,121.551345)",臺北市濱江街373號旁,客服中心,(02)87335678,限預約包點
9,未開設,中山區,"(25.0723104,121.531105) ",臺北市濱江街5號(林安泰古厝前),客服中心,(02)87335678,限預約包點
10,未開設,新店區,"(24.954776,121.504747)",新北市新店區安一路與車子路口(北側),客服中心,(02)87335678,限預約包點
11,未開設,新店區,"(24.954256,121.504842)",新北市新店區安一路與車子路口(南側),客服中心,(02)87335678,限預約包點
12,未開設,內湖區,"(25.058781,121.619387)",臺北市經貿一路(接近與經貿二路105巷交口),客服中心,(02)87335678,備援
13,未開設,內湖區,"(25.052485,121.608246)",臺北市忠孝東路七段(近415巷，南港車站旁),客服中心,(02)87335678,備援
14,未開設,內湖區,"(25.052454,121.611067)",臺北市忠孝東路七段506號前,客服中心,(02)87335678,備援
15,未開設,松山區,"(25.06394,121.56770)",臺北市民權東路五段41-1號(松山加壓站內),客服中心,(02)87335678,備援
16,未開設,大同區,"(25.076229,121.514266)",臺北市重慶北路3段交流道北上入口北側(慶昌橋下),客服中心,(02)87335678,備援
17,未開設,文山區,"(25.001316,121.579327)",臺北市木柵路五段(風動石公車站牌旁),客服中心,(02)87335678,備援
18,未開設,北投區,"(25.12253,121.499568)",臺北市大業路10號前,客服中心,(02)87335678,備援
19,未開設,新店區,"(24.977367,121.546528)",新北市新店區中興路二段(HTC旁停車場前，家樂福對面),客服中心,(02)87335678,備援
20,未開設,新店區,"(24.969667,121.518513)",新北市新店區安和路二段99號,客服中心,(02)87335678,備援
